,,,,,18-06-2026 18:44:43,,,,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,,,
,,,Contratos,,,,,,,,,,,
,,,,,,,,,,,,,,
Contrato,Vigência,,,Fornecedor,,Modalidade,,,,,Valor Inicial,Objeto,,
109/2026,29/05/2027,NACIONAL GAS BUTANO DISTRIBUIDORA LTDA [06.980.064,31 - PREGÃO ELETRÔNICO REGISTRO DE PREÇO,,48/2025,,"67877,00",,"Registro de Preços para futura e eventual contratação de empresa para prestação de serviços de Rede Canalizada com fornecimento de Gás Liquefeito de Petróleo (GLP) Botija de 190 kg, para o abastecimento contínuo do Hospital Doutor José Maria Morais, através do sistema de gás fornecido em regime de comodato contemplando a central, rede de canalização e medidores de consumo, com fornecimento em comodato de 5 (cinco) tanques P190, conforme normas técnicas estabelecidas, pelo período de 12 meses, tendo como fonte de receita: Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual.",,
108/2026,20/05/2027,CLIMEDI-CLINICA MEDICA E ODONTOLOGICA LTDA ,09 - INEXIGIBILIDADE,,182/2025,,"297000,00",,"Credenciamento de pessoa jurídica para fornecer serviços de consultas médicas, no território de Coronel Fabriciano, em conformidade com a “Tabela de Procedimentos, Medicamentos, Órteses e Próteses e Materiais Especiais (OPM) do Sistema Único de Saúde - SUS” - GRUPO 02 - SUBGRUPO 1  - ",,
Exercício: 2026,,,,República Federativa do Brasil,,,,,,Página: 2 de, 36
Contrato,Vigência,Fornecedor,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,Processo,,,,,
,,,,,,,,,"CONSULTAS, ATENDIMENTOS E ACOMPANHAMENTOS, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS 009/2025,tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Estadual e Recursos não Vinculados de Impostos.

",,
107/2026,20/05/2027,CAM SERVICOS MEDICOS LTDA [64.357.102/0001-41],09 - INEXIGIBILIDADE,,313/2025,,"5568000,00",,"Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
106/2026,18/05/2027,DANIELE ASSIS SOUZA SERVICOS ODONTOLOGICOS ,09 - INEXIGIBILIDADE,,67/2026,,"134400,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
105/2026,18/05/2027,ODONTOSMILES ODONTOLOGIA LTDA [64.866.826/0001-10],09 - INEXIGIBILIDADE,,67/2026,,"67200,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
104/2026,18/05/2027,ABRF ODONTOLOGIA LTDA [66.325.495/0001-37],09 - INEXIGIBILIDADE,,67/2026,,"134400,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
103/2026,18/05/2027,MARIA CLARA CONTARINI A DUTRA SERVICOS ,09 - INEXIGIBILIDADE,,67/2026,,"134400,00",,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
102/2026,15/05/2027,DOCTOR COLUNA REGENERATION LTDA [64.637.975/0001-08],09 - INEXIGIBILIDADE,,226/2025,,"112500,00",,"Credenciamento de pessoa jurídica para fornecer serviço de consulta não médica na especialidade de acupuntura e quiropraxia, em conformidade com o plano operativo, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
