processo,modalidade,numero_modalidade,data_abertura,data_publicacao,situacao,objeto,ano,data_abertura_limpa,mes_publicacao,ano_mes_publicacao,categoria;
"227/2025,PREGÃO ELETRÔNICO,89,21-01-2026 13:00 <br> 21-,2025-12-29,HOMOLOGADO,""Aquisição de veículo utilitário, zero quilômetro, adaptado com compartimentos específicos para o transporte seguro de animais de pequeno porte, visando atender às necessidades operacionais do Centro de Controle de Zoonoses da Secretaria de Governança da Saúde do Município de Coronel Fabriciano/MG, tendo como fonte de receita, Recurso Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal."",2025,2026-01-21,12,2025-12,Veículos e Transporte";
"226/2025,PREGÃO ELETRÔNICO,63,21-01-2026 13:00 <br> 21-,2025-12-30,HOMOLOGADO,""Contratação de empresa, para manutenção preventiva e corretiva, com fornecimento de peças novas de um elevador Montele EL-H3 (Versão 2017 do EL-2000), instalado no prédio principal da Prefeitura Municipal de Coronel Fabriciano, preservando a segurança e promovendo a acessibilidade, pelo período de 12 (doze) meses, em atendimento à Secretaria de Governança de Planejamento, Meio Ambiente e Habitação, tendo como fonte de receita, Recursos Não Vinculados de Impostos."",2025,2026-01-21,12,2025-12,Materiais e Equipamentos";
"224/2025,PREGÃO ELETRÔNICO,91,21-01-2026 12:59 <br> 21-,2025-12-30,HOMOLOGADO,""Aquisição e instalação de pontos de acesso à internet sem fio (Access Points) de tecnologia Wi-Fi 7, destinados à modernização e ampliação da infraestrutura de rede sem fio da Escola Municipal Reverendo Mario Dos Santos, garantindo maior desempenho, estabilidade, segurança e cobertura nas áreas internas e externas em atendimento a Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Transferências do Fundeb – Impostos e Transferências de Impostos."",2025,2026-01-21,12,2025-12,Tecnologia";
"216/2025,PREGÃO ELETRÔNICO,93,21-01-2026 13:00 <br> 21-,2025-12-29,REVOGADO,"": Aquisição de equipamentos de tecnologia da informação, destinados a atender às demandas da Secretaria, Escolas Municipais e CMEIS, em atendimento à Secretaria de"",2025,2026-01-21,12,2025-12,Tecnologia";
"225/2025,PREGÃO ELETRÔNICO,90,16-01-2026 13:00 <br> 16-,2025-12-26,HOMOLOGADO,""Contratação de empresa para prestação de serviços de assessoria, consultoria e realização do Festival de Férias, para 750 alunos do 2° ao 8° ano do Ensino Fundamental, matriculados nas Escolas Municipais, incluindo contratação de monitores e professores e fornecimento de todo o material necessário para realização do referido Festival, para três núcleos, a ser realizado nos meses de janeiro e julho de 2026, em atendimento à Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Recursos não Vinculados de Impostos."",2025,2026-01-16,12,2025-12,Eventos e Cultura";
"238/2025,DISPENSA DE LICITAÇÃO,67,14-01-2026 13:00 <br> 14-,2026-01-16,HOMOLOGADO,""Contratação da empresa OLIVEIRA FOODS ATACAREJO LTDA, para fornecimento de hortifrutigranjeiros, utilizados na preparação de refeições, para atender aos alunos da rede municipal de ensino, pacientes atendidos pelo Hospital Doutor José Maria Morais, UPA 24 horas, CAPS, internos do Serviço de Acolhimento Bem Viver e usuários da cozinha comunitária, pelo período de 06 (seis) meses, ao valor global de R$ 274.368,10 (duzentos e setenta e quatro mil, trezentos e sessenta e oito reais e dez centavos), tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos, nos termos do art. 75, Inciso VIII da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2026-01-14,1,2026-01,Alimentação";
"228/2025,DISPENSA DE LICITAÇÃO,66,13-01-2026 13:00 <br> 13-,2025-12-30,HOMOLOGADO,""Contratação de empresa, para prestação de serviços de manutenção preventiva e corretiva na usina fotovoltaica do Hospital Doutor José Maria Morais, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual."",2025,2026-01-13,12,2025-12,Saúde";
"215/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,87,09-01-2026 13:00 <br> 09-,2025-12-17,HOMOLOGADO,""Registro de Preços para futura e eventual aquisição de gás liquefeito de Petróleo – GLP, em atendimento à Rede Municipal de Ensino, CMEI’s, Creches, Entidades Conveniadas, Manutenção da Cozinha Comunitária, Banco de Alimentos, Centro POP, Serviço de Acolhimento Institucional para Pessoas Idosas, Secretaria de Governança da Saúde – CASAM (Centro de Atenção Psicossocial – CAPS II) e Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2026-01-09,12,2025-12,Obras e Engenharia";
"218/2025,DISPENSA DE LICITAÇÃO,65,06-01-2026 13:00 <br> 06-,2025-12-23,HOMOLOGADO,""Aquisição de medicamento T-61, destinado ao uso veterinário para prática de eutanásia, em animais resgatados pelo setor de endemias ou aqueles recebidos diretamente nas instalações do curral municipal, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita Transferências Fundo a Fundo de Recursos do SUS, Provenientes do Governo Federal."",2025,2026-01-06,12,2025-12,Saúde";
"213/2025,PREGÃO ELETRÔNICO,88,06-01-2026 13:00 <br> 06-,2025-12-10,HOMOLOGADO,""1.1. Contratação de pessoa jurídica, para prestação de serviços de laboratório, para confecção de próteses odontológicas, incluindo próteses totais, parciais, fixas e móveis, em atendimento à Secretaria de Governança da Saúde, tendo como fonte d receita, Transferências Fundo a Fundo dos Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2026-01-06,12,2025-12,Saúde";
"155/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,62,05-01-2026 13:00 <br> 05-,2025-10-08,HOMOLOGADO,""sRegistro de Preços, para futura e eventual aquisição de materiais de limpeza e produtos de uso hospitalar, com cessão de equipamentos dosadores, em regime de comodato, para atender as necessidades do Hospital Doutor José Maria Morais e UPA 24 horas Doutor Walter Luiz Winter Maia, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita: Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual."",2025,2026-01-05,10,2025-10,Materiais de Consumo";
"203/2025,PREGÃO ELETRÔNICO,82,05-01-2026 13:30 <br> 05-,2025-12-08,HOMOLOGADO,""Contratação de empresa, para futura e eventual prestação de serviços de impressão e reprografia, incluindo software de gestão de impressão, plotagem, encadernação e plastificação, por meio do fornecimento, em regime de comodato de equipamentos novos (de primeiro uso), sendo impressoras e copiadoras Led/Laser monocromáticas e policromáticas, multifuncionais e plotter, com capacidade de impressão de até o formato A0, com manutenção preventiva e corretiva, assistência técnica on-site, reposição de peças e fornecimento integral de insumos (incluindo papel e toner), para atender a todas as Secretarias de Governança e demais órgãos da Prefeitura Municipal de Coronel Fabriciano, tendo como fonte de receita, Recursos não Vinculados de Impostos ."",2025,2026-01-05,12,2025-12,Tecnologia";
"232/2025,INEXIGIBILIDADE,43,30-12-2025 15:00 <br> 30-,2026-01-08,HOMOLOGADO,""Contratação da empresa VICTOR GOMES ANDRADE, representante exclusiva da Banda POLIVALÊNCIA, para apresentação de show musical no dia 18 de janeiro de 2026, no 77º aniversário da cidade de Coronel Fabriciano/MG, no valor global de R$ 6.500,00 (seis mil e quinhentos reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2025-12-30,1,2026-01,Eventos e Cultura";
"231/2025,INEXIGIBILIDADE,44,30-12-2025 13:00 <br> 30-,2026-01-08,HOMOLOGADO,""Contratação da empresa PAULO HENRIQUE TOLEDO, representante exclusiva do cantor PAULÃO NIGRINS, para apresentação de show musical no dia 19 de janeiro de 2026, no 77º aniversário da cidade de Coronel Fabriciano/MG, no valor global de R$ 11.000,00 (onze mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2025-12-30,1,2026-01,Eventos e Cultura";
"205/2025,CONCORRÊNCIA,21,29-12-2025 13:00 <br> 29-,2025-11-27,HOMOLOGADO,""Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos, para execução de serviços de pavimentação e drenagem em via de acesso ao Residencial do Programa Fabri Meu Lar, localizado no Bairro Córrego Alto, no Município de Coronel Fabriciano/MG, tendo como fonte de receita, Recursos não Vinculados de Impostos."",2025,2025-12-29,11,2025-11,Obras e Engenharia";
"223/2025,INEXIGIBILIDADE,41,23-12-2025 15:00 <br> 23-,2025-12-30,HOMOLOGADO,""Contratação da empresa K & K PRODUTORA LTDA, representante exclusiva da dupla KAIO E KAIQUE, para apresentação de show musical no dia 17 de janeiro de 2026, no 77º aniversário da cidade de Coronel Fabriciano/MG, no valor global de R$ 25.000,00 (vinte e cinco mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2025-12-23,12,2025-12,Eventos e Cultura";
"220/2025,INEXIGIBILIDADE,38,23-12-2025 13:00 <br> 23-,2025-12-30,HOMOLOGADO,""Contratação da empresa GRÁFICA E EDITORA POSIGRAF LTDA, para fornecimento de livros didáticos integrados para alunos e professores, Aprende Brasil digital com ambiente virtual de aprendizagem, com conteúdo educacionais e acessos por meio de senhas individuais para alunos, familiares, professores e gestores, assessores pedagógicos com encontros presenciais ou a distância (síncronos e/ou assíncronos) para os docentes e equipes técnicos-pedagógicos, com cursos de implantação e de formação que abordam as metodologias de ensino para educação infantil e para o ensino fundamental e tecnologia educacional, além de atendimentos pedagógicos personalizados, avaliação externa de aprendizagem, com testes nas modalidades impressas ou on-line, nos componentes curriculares de língua portuguesa, matemática e ciências, para alunos do 4º e 8º anos (em anos pares) e 3º e 7º anos (em anos ímpares), e questionários contextuais para os mesmos alunos, professores e gestores, exclusivamente para alunos contemplados com o Sistema de ensino Aprende Brasil, para o período de 12 (doze) meses, em atendimento à Secretaria de Governança Educacional e Cultura, para o exercício do ano de 2026, no valor global de R$ 4.863.998,12 (quatro milhões, oitocentos e sessenta e três mil, novecentos e noventa e oito reais e doze centavos), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21."",2025,2025-12-23,12,2025-12,Tecnologia";
"222/2025,INEXIGIBILIDADE,39,22-12-2025 16:30 <br> 22-,2025-12-30,HOMOLOGADO,""Contratação da empresa LABORATÓRIOS B BRAUN S/A, para fornecimento de filtros Diacap Ultra (Dialysis Fluid Filter), bacteriológico e pirogênico, para fabricação de fluido de diálise ultrapuro em máquinas de diálise Dialog, para fins de atender as necessidades dos pacientes assistidos na Unidade de Terapia Intensiva – UTI do Hospital Doutor José Maria Morais, pelo período de 12 (doze) meses, em atendimento à Secretaria de Governança da Saúde, ao valor global de R$ 8.010,00 (oito mil e dez reais), tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, nos termos do art. 74, inciso I, da Lei Federal nº 14.133/21."",2025,2025-12-22,12,2025-12,Saúde";
"221/2025,INEXIGIBILIDADE,42,22-12-2025 15:00 <br> 22-,2025-12-30,HOMOLOGADO,""Contratação da empresa JÚLIO CORRÊA TEIXEIRA, representante exclusiva da Banda SEGUE O SÍNDICO, para apresentação de show musical no dia 18 de janeiro de 2026, no 77º aniversário da cidade de Coronel Fabriciano/MG, no valor global de R$ 8.000,00 (oito mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2025-12-22,12,2025-12,Eventos e Cultura";
"219/2025,INEXIGIBILIDADE,40,22-12-2025 13:00 <br> 22-,2025-12-30,HOMOLOGADO,""Contratação da empresa MINEIRINHO PRODUÇÕES LTDA, representante exclusiva da Banda SÓ PRA CONTRARIAR, para apresentação de show musical no dia 17 de janeiro de 2026, no 77º aniversário da cidade de Coronel Fabriciano/MG, no valor global de R$ 200.000,00 (duzentos mil reais), tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso II, da Lei Federal nº 14.133/21, com suas alterações posteriores."",2025,2025-12-22,12,2025-12,Eventos e Cultura";
"209/2025,CONCORRÊNCIA,23,18-12-2025 13:30 <br> 18-,2025-12-01,HOMOLOGADO,""Contratação de empresa por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos para execução de serviços de pavimentação das Ruas Apuã, Caxambu, Jacaúna e Rênio, no Município de Coronel Fabriciano/MG, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte de receita, Transferência Especial da União e Recursos não Vinculados de Impostos."",2025,2025-12-18,12,2025-12,Obras e Engenharia";
"195/2025,CONCORRÊNCIA,20,18-12-2025 13:00 <br> 18-,2025-11-03,HOMOLOGADO,""contratação de empresa por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos para execução de serviços de reforma da Escola Municipal Deolindo Coelho, em atendimento à Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Transferências do Estado Referentes a Convênios e Instrumentos Congêneres Vinculados à Educação e Recursos não Vinculados de Impostos."",2025,2025-12-18,11,2025-11,Obras e Engenharia";
"208/2025,PREGÃO ELETRÔNICO,86,16-12-2025 13:00 <br> 16-,2025-11-28,HOMOLOGADO,""Contratação de empresa, para cessão de direito de uso de software, 100% acessível via web, incluindo treinamento e suporte técnico, para realização da gestão, monitoramento e"",2025,2025-12-16,11,2025-11,Tecnologia";
"207/2025,PREGÃO ELETRÔNICO,79,15-12-2025 13:00 <br> 15-,2025-11-26,HOMOLOGADO,""Aquisição de máquinas industriais para implantação da lavanderia da Cidade da Melhor Idade de Coronel Fabriciano/MG, em atendimento às demandas do Serviço de Acolhimento Institucional para Pessoas Idosas da Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos não Vinculados de Impostos."",2025,2025-12-15,11,2025-11,Outros";
"206/2025,CONCORRÊNCIA,22,12-12-2025 13:00 <br> 12-,2025-11-28,HOMOLOGADO,""Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos, para execução do serviço de construção do CMEI Crescer e Ser, localizado no Bairro Giovanini, no Município de Coronel Fabriciano/MG, tendo como fonte de receita, Transferências do FUNDEB – Complementação da União – VAAT e Transferências do FUNDEB – Complementação da União – VAAR."",2025,2025-12-12,11,2025-11,Obras e Engenharia";
"214/2025,INEXIGIBILIDADE,35,10-12-2025 13:00 <br> 10-,2025-12-15,HOMOLOGADO,""Contratação da EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS, para prestação de serviços postais das Autuações de Trânsito e Notificações de Penalidades, em atendimento à Junta Administrativa de Recursos de Infrações – JARI, para o período de 12 (doze) meses, no valor global estimado de R$ 250.000,00 (duzentos e cinquenta mil reais), tendo como fonte de receita, Recursos Vinculados ao Trânsito, nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21."",2025,2025-12-10,12,2025-12,Comunicação e Publicações";
"212/2025,INEXIGIBILIDADE,36,10-12-2025 12:00 <br> 10-,2025-12-09,HOMOLOGADO,""Credenciamento de pessoas jurídicas especializadas para a prestação de serviços de baixa a média complexidade em cirurgia vascular, consultas de urgência, e procedimentos no município de Coronel Fabriciano, conforme as necessidades e demandas do Hospital Dr. José Maria Morais, por valor diferenciado aprovado através da Resolução do Conselho Municipal de Saúde ad referendum 003/2025 de 21 de outubro de 2025, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal e Recursos não Vinculados de Impostos."",2025,2025-12-10,12,2025-12,Saúde";
"192/2025,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,76,04-12-2025 13:30 <br> 04-,2025-11-17,HOMOLOGADO,""Registro de preços, para futura e eventual aquisição de Materiais Descartáveis fracassados no Pregão Eletrônico nº 027/2025, Processo Licitatório nº 083/2025, em atendimento à Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos não Vinculados de Impostos."",2025,2025-12-04,11,2025-11,Outros";
