,,,,,,18-06-2026 18:43:20,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,
,,,Lista de Processos Licitatórios,,,,,,,,,
,,,,,,,,,,,,
Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
,,,,,,,,Publicação,,,,
37/2026,PREGÃO ELETRÔNICO,13,22-05-2026 13:00 <br> 22-,,15-04-2026,Homologado,"Aquisição de uniformes e materiais de uso funcional para atender os Agentes Comunitários de Saúde, Agentes de Endemias e Fiscais Sanitários em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita Transferências Fundo a fundo de Recursos do SUS Provenientes do Governo Estadual.",,
Exercício: 2026,,,,República Federativa do Brasil,,,,Página: 2 de, 32
Processo,Modalidade,Nro. Modalidade,Abertura,,,Situação,Objeto,,
,,,,,Publicação,,,,
237/2025,CONCORRÊNCIA,24,21-05-2026 13:00 <br> 21-,,05-05-2026,Deserto,"O objeto da presente licitação é selecionar a melhor proposta para exploração e prestação do serviço público de transporte coletivo urbano de passageiros em Coronel Fabriciano/MG, mediante concessão, baseado na tecnologia do ônibus, com suas variantes dimensionais exclusivamente nas modalidades descritas no ANEXO I deste edital de convocação, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos.",,
46/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,24,19-05-2026 13:30 <br> 19-,,06-05-2026,Homologado,"Registro de Preços para futura e eventual aquisição de materiais descartáveis, para manutenção de todas as Secretarias de Governança do Município de Coronel Fabriciano, para o ano 2026, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
42/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,21,18-05-2026 13:00 <br> 18-,,28-04-2026,Homologado,"Registro de Preços, para a futura e eventual aquisição de cartuchos de medição, lavagem e controles de qualidade (originais e compatíveis), para o gasômetro Siemens Rapidpoint 500e, abrangendo análises de gasometria (pH, pO2, pCO2, eletrólitos, glicose, lactato, hemoglobina total, co-oximetria completa e bilirrubina neonatal, em atendimento ao Laboratório de Análises Clínicas do Hospital Doutor José Maria Morais (HJMM) e da Unidade de Pronto Atendimento – UPA 24 Horas Doutor Walter Luiz Winter Maia, integrantes da rede de urgência e emergência da Prefeitura Municipal de Coronel Fabriciano, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
30/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,19,18-05-2026 13:00 <br> 18-,,29-04-2026,Homologado,"Registro de Preço, para futura e eventual aquisição de Materiais Esportivos e Tendas, para realização de eventos esportivos, corridas, caminhadas, atividades recreativas, torneios e campeonatos de diversas modalidades, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receitas, Recursos não Vinculados de Impostos.",,
39/2026,PREGÃO ELETRÔNICO,15,13-05-2026 13:00 <br> 13-,,23-04-2026,Homologado,"Contratação de empresa para prestação de Serviços de Organização, Coordenação Técnica, Administração, Arbitragem, Equipe de Apoio e Segurança, para realização dos Jogos Escolares – JEF 2026, módulos I, II e III, com alunos dos finais do ensino fundamental e do ensino médio das redes Municipais, Estaduais e Particulares, Jogos da Inclusão e Integração – JIICF 2026, com alunos do 1º ao 5º ano da rede Municipal e Jogos Recreativos da Primeira Infância – JRPICF 2026, com alunos da Educação Infantil de 01 a 05 anos, em atendimento à Secretaria de Governança Educacional e Cultura, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
41/2026,PREGÃO ELETRÔNICO,22,12-05-2026 13:00 <br> 12-,,24-04-2026,Homologado,"Aquisição de Veículo para premiar os contribuintes participantes da campanha do IPTU Premiado, conforme Lei Municipal nº 3.510 de 07 de abril de 2010 e Decreto nº 9.102 de 12 de fevereiro de 2026, em atendimento à Secretária de Governança Financeira e Orçamentária, tendo como fonte de receita: Recursos Não Vinculados de Impostos.",,
