contrato,vigencia,fornecedor,modalidade_contrato,processo,valor_inicial,objeto_contrato,ano_contrato,ano_processo,mes_vigencia,ano_mes_vigencia,categoria_contrato,modalidade_licitacao,numero_modalidade,data_abertura,data_publicacao,situacao,objeto_licitacao,ano_licitacao,data_abertura_limpa,mes_publicacao,ano_mes_publicacao,categoria_licitacao,_merge,processo_encontrado;
"281/2025,2027-02-01,HEMERSON HUBNER SERVICOS MEDICOS LTDA [45.557.471,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,,,,,,,,,,,,left_only,False";
"280/2025,2027-02-01,ALFA GREGHI CONSULTORIA MEDICA LTDA [53.053.564/0001-,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,,,,,,,,,,,,left_only,False";
"279/2025,2027-02-01,NSV SERVICOS MEDICOS LTDA [51.353.207/0001-80],09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,,,,,,,,,,,,left_only,False";
"278/2025,2027-02-01,L K SERVICOS MEDICOS LTDA [24.467.554/0001-61],09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,,,,,,,,,,,,left_only,False";
"277/2025,2026-12-22,SFM EVENTOS ESPORTIVOS LTDA - EPP [00.720.129/0001-74],30 - PREGÃO ELETRÔNICO,291/2025,201600.0,""Contratação de empresa para prestação de serviços de manutenção, conservação e limpeza de piscinas e espelhos d’água, incluindo o fornecimento de mão de obra qualificada, materiais de limpeza e tratamento e acessórios e equipamentos necessários, em atendimento à Secretaria de Governança de Assistência Social, Secretaria de Governança Educacional e Cultura e Secretaria de Governança de Gestão e Transparência, tendo como fonte de receita, Recursos Não Vinculados de Impostos."",2025,2025,12,2026-12,Obras e Engenharia,,,,,,,,,,,,left_only,False";
"276/2025,2026-12-22,APONTUAL COMERCIO LTDA - ME [08.307.817/0001-19],30 - PREGÃO ELETRÔNICO,291/2025,106428.0,""Contratação de empresa para prestação de serviços de manutenção, conservação e limpeza de piscinas e espelhos d’água, incluindo o fornecimento de mão de obra qualificada, materiais de limpeza e tratamento e acessórios e equipamentos necessários, em atendimento à Secretaria de Governança de Assistência Social, Secretaria de Governança Educacional e Cultura e Secretaria de Governança de Gestão e Transparência, tendo como fonte de receita, Recursos Não Vinculados de Impostos."",2025,2025,12,2026-12,Obras e Engenharia,,,,,,,,,,,,left_only,False";
"275/2025,2026-12-17,DARU INDÃŠSTRIA TÃŠXTIL LTDA [37.020.966/0001-09],30 - PREGÃO ELETRÔNICO,322/2025,26666.0,""Aquisição de materiais esportivos e camisas, para atender aos usuários do “Programa Mexa-se, Hábitos de Vida Saudável”, desenvolvido pelo Município como prática preventiva e de promoção da saúde, referente ao Convênio nº 960677/2024, proposta nº 1042/2024 do Ministério do Esporte, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Outras Transferências de Convênios ou Instrumentos Congêneres da União"",2025,2025,12,2026-12,Outros,,,,,,,,,,,,left_only,False";
"274/2025,2026-12-17,""300 COMERCIO, SERVICO E LOGISTICA LTDA TÍTULO DO"",30 - PREGÃO ELETRÔNICO,322/2025,650.0,""Aquisição de materiais esportivos e camisas, para atender aos usuários do “Programa Mexa-se, Hábitos de Vida Saudável”, desenvolvido pelo Município como prática preventiva e de promoção da saúde, referente ao Convênio nº 960677/2024, proposta nº 1042/2024 do Ministério do Esporte, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Outras Transferências de Convênios ou Instrumentos Congêneres da União"",2025,2025,12,2026-12,Outros,,,,,,,,,,,,left_only,False";
"273/2025,2026-06-15,DUDA SHOP STORE COMERCIO DE ELETROELETRONICOS,30 - PREGÃO ELETRÔNICO,312/2025,7000.0,""Aquisição de materiais permanentes, para assegurar a continuidade, eficiência e qualidade dos serviços das unidades públicas sob a responsabilidade administrativa da Secretaria de Governança de Assistência Social, tendo como fonte de receita, Transferência de Recursos do Fundo Nacional de Assistência Social, Transferência de Recursos dos Fundos Estaduais de Assistência Social e Recursos Não Vinculados de Impostos."",2025,2025,6,2026-06,Outros,,,,,,,,,,,,left_only,False";
"272/2025,2026-06-15,B9 BEBEDOUROS INDUSTRIA E COMERCIO LTDA [05.490.249,30 - PREGÃO ELETRÔNICO,312/2025,2025.0,""Aquisição de materiais permanentes, para assegurar a continuidade, eficiência e qualidade dos serviços das unidades públicas sob a responsabilidade administrativa da Secretaria de Governança de Assistência Social, tendo como fonte de receita, Transferência de Recursos do Fundo Nacional de Assistência Social, Transferência de Recursos dos Fundos Estaduais de Assistência Social e Recursos Não Vinculados de Impostos."",2025,2025,6,2026-06,Outros,,,,,,,,,,,,left_only,False";
